date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:19	55720/55720	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b5ee2c95ff8a6cbcbf06542880ddaed%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/17c69435-63674a77fdd7baed.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/17c69435-63674a77fdd7baed.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:19	61466/61466	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ba879bc43abfdac95855bad0bee73478%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/5eae7a46-71a31a5cc5147d4d.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/5eae7a46-71a31a5cc5147d4d.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:19	3051362/3051362	---MCZ	200	added ('OK')	application/javascript	etag:W/%227d37b9ae7adb6d595eb8c1a4dbff3487%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/5234-bcc6e52c7999c5e8.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/5234-bcc6e52c7999c5e8.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:20	3457994/3457994	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211ca851f27b5e6632f2a8df7b0dad8f5%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/3771-18ec671a938431a7.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/3771-18ec671a938431a7.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:20	925/925	---M--	200	added ('OK')	application/javascript	etag:%22b0217f3a7a6bdb7b74008a93d3024e9c%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/pages/published/%5BdocId%5D-c69d29d691040564.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/pages/published/[docId]-c69d29d691040564.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:20	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f70e5649183a993ca63eff29b8285ea7%22	https://assets.gammahosted.com/97xo06r1t/_next/static/6miNwvfnB00qzff_6wjRS/_buildManifest.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/6miNwvfnB00qzff_6wjRS/_buildManifest.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:20	187/187	---M--	200	added ('OK')	application/javascript	etag:%228603a25d6a162536d8131c6c47d652cd%22	https://assets.gammahosted.com/97xo06r1t/_next/static/6miNwvfnB00qzff_6wjRS/_ssgManifest.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/6miNwvfnB00qzff_6wjRS/_ssgManifest.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:21	178/178	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2024%20Jun%202025%2020:51:22%20GMT	https://imgproxy.gamma.app/resize/quality/resizing_type:fit/width:2000/height:2000/https://cdn.gamma.app/b79nrq4ybni7xcv/6cc4da9f3eeb4a56a8e4c99c176ee4a8/original/Revenue-Focused-Transformation-8.png	C:/My%20Web%20Sites/gamma_article/imgproxy.gamma.app/resize/quality/resizing_type_fit/width_2000/height_2000/https_/cdn.gamma.app/b79nrq4ybni7xcv/6cc4da9f3eeb4a56a8e4c99c176ee4a8/original/Revenue-Focused-Transformation-8.1b.delayed	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:21	171/171	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2024%20Jun%202025%2020:51:22%20GMT	https://imgproxy.gamma.app/resize/quality/resizing_type:fit/width:2000/https://cdn.gamma.app/b79nrq4ybni7xcv/fdf303af0ed54826a9ad852401112f79/original/ChatGPT-Image-Jun-24-2025-02_16_51-PM.png	C:/My%20Web%20Sites/gamma_article/imgproxy.gamma.app/resize/quality/resizing_type_fit/width_2000/https_/cdn.gamma.app/b79nrq4ybni7xcv/fdf303af0ed54826a9ad852401112f79/original/ChatGPT-Image-Jun-24-2025-02_16_51-PM.png	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:21	130/130	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2024%20Jun%202025%2020:51:22%20GMT	https://imgproxy.gamma.app/resize/quality/resizing_type:fit/width:1200/https://cdn.gamma.app/b79nrq4ybni7xcv/generated-images/PNPGJEpJq58Ulh0Ku6ozS.png	C:/My%20Web%20Sites/gamma_article/imgproxy.gamma.app/resize/quality/resizing_type_fit/width_1200/https_/cdn.gamma.app/b79nrq4ybni7xcv/generated-images/PNPGJEpJq58Ulh0Ku6ozS.png	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:21	155/155	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2024%20Jun%202025%2020:51:23%20GMT	https://imgproxy.gamma.app/resize/quality/resizing_type:fit/width:2000/https://cdn.gamma.app/b79nrq4ybni7xcv/f126755c05864835a847377fea23f6c7/original/EvanUnickHeadshotNoBG.png	C:/My%20Web%20Sites/gamma_article/imgproxy.gamma.app/resize/quality/resizing_type_fit/width_2000/https_/cdn.gamma.app/b79nrq4ybni7xcv/f126755c05864835a847377fea23f6c7/original/EvanUnickHeadshotNoBG.png	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:22	76374/76374	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Jun%202025%2020:43:05%20GMT	https://ai-initiative-success-6i3qful.gamma.site/syllab.ai	C:/My%20Web%20Sites/gamma_article/ai-initiative-success-6i3qful.gamma.site/syllab.ai	(from https://ai-initiative-success-6i3qful.gamma.site/)
